"TOA5","LTUX","CR1000","75756","CR1000.Std.31","CPU:LTUX.cr1","29697","Segundo"
"TIMESTAMP","RECORD","Voltage"
"TS","RN","Volts"
"","","Smp"
"2017-12-13 20:31:30",548,0.121
"2017-12-13 20:31:40",549,0.121
"2017-12-13 20:31:50",550,0.121
"2017-12-13 20:32:00",551,0.122
"2017-12-13 20:32:10",552,0.121
"2017-12-13 20:32:20",553,0.122
"2017-12-13 20:32:30",554,0.122
"2017-12-13 20:32:40",555,0.122
"2017-12-13 20:32:50",556,0.123
"2017-12-13 20:33:00",557,0.122
"2017-12-13 20:33:10",558,0.122
"2017-12-13 20:33:20",559,0.122
"2017-12-13 20:33:30",560,0.122
"2017-12-13 20:33:40",561,0.122
"2017-12-13 20:33:50",562,0.122
"2017-12-13 20:34:00",563,0.123
"2017-12-13 20:34:10",564,0.123
"2017-12-13 20:34:20",565,0.123
"2017-12-13 20:34:30",566,0.123
"2017-12-13 20:34:40",567,0.123
"2017-12-13 20:34:50",568,0.123
"2017-12-13 20:35:00",569,0.123
"2017-12-13 20:35:10",570,0.123
"2017-12-13 20:35:20",571,0.123
"2017-12-13 20:35:30",572,0.123
"2017-12-13 20:35:40",573,0.123
"2017-12-13 20:35:50",574,0.123
"2017-12-13 20:36:00",575,0.123
"2017-12-13 20:36:10",576,0.123
"2017-12-13 20:36:20",577,0.124
"2017-12-13 20:36:30",578,0.123
"2017-12-13 20:36:40",579,0.124
"2017-12-13 20:36:50",580,0.123
"2017-12-13 20:37:00",581,0.123
"2017-12-13 20:37:10",582,0.124
"2017-12-13 20:37:20",583,0.124
"2017-12-13 20:37:30",584,0.124
"2017-12-13 20:37:40",585,0.124
"2017-12-13 20:37:50",586,0.124
"2017-12-13 20:38:00",587,0.124
"2017-12-13 20:38:10",588,0.124
"2017-12-13 20:38:20",589,0.124
"2017-12-13 20:38:30",590,0.124
"2017-12-13 20:38:40",591,0.125
"2017-12-13 20:38:50",592,0.124
"2017-12-13 20:39:00",593,0.124
"2017-12-13 20:39:10",594,0.124
"2017-12-13 20:39:20",595,0.124
"2017-12-13 20:39:30",596,0.124
"2017-12-13 20:39:40",597,0.125
"2017-12-13 20:39:50",598,0.124
"2017-12-13 20:40:00",599,0.124
"2017-12-13 20:40:10",600,0.124
"2017-12-13 20:40:20",601,0.124
"2017-12-13 20:40:30",602,0.124
"2017-12-13 20:40:40",603,0.124
"2017-12-13 20:40:50",604,0.125
"2017-12-13 20:41:00",605,0.124
"2017-12-13 20:41:10",606,0.124
"2017-12-13 20:41:20",607,0.124
"2017-12-13 20:41:30",608,0.124
"2017-12-13 20:41:40",609,0.124
"2017-12-13 20:41:50",610,0.124
"2017-12-13 20:42:00",611,0.124
"2017-12-13 20:42:10",612,0.124
"2017-12-13 20:42:20",613,0.124
"2017-12-13 20:42:30",614,0.124
"2017-12-13 20:42:40",615,0.124
"2017-12-13 20:42:50",616,0.124
"2017-12-13 20:43:00",617,0.124
"2017-12-13 20:43:10",618,0.125
"2017-12-13 20:43:20",619,0.124
"2017-12-13 20:43:30",620,0.124
"2017-12-13 20:43:40",621,0.124
"2017-12-13 20:43:50",622,0.124
"2017-12-13 20:44:00",623,0.124
"2017-12-13 20:44:10",624,0.124
"2017-12-13 20:44:20",625,0.125
"2017-12-13 20:44:30",626,0.125
"2017-12-13 20:44:40",627,0.124
"2017-12-13 20:44:50",628,0.124
"2017-12-13 20:45:00",629,0.125
"2017-12-13 20:45:10",630,0.124
"2017-12-13 20:45:20",631,0.124
"2017-12-13 20:45:30",632,0.125
"2017-12-13 20:45:40",633,0.125
"2017-12-13 20:45:50",634,0.125
"2017-12-13 20:46:00",635,0.125
"2017-12-13 20:46:10",636,0.125
"2017-12-13 20:46:20",637,0.124
"2017-12-13 20:46:30",638,0.125
"2017-12-13 20:46:40",639,0.125
"2017-12-13 20:46:50",640,0.125
"2017-12-13 20:47:00",641,0.125
"2017-12-13 20:47:10",642,0.125
"2017-12-13 20:47:20",643,0.125
"2017-12-13 20:47:30",644,0.125
"2017-12-13 20:47:40",645,0.125
"2017-12-13 20:47:50",646,0.125
"2017-12-13 20:48:00",647,0.125
"2017-12-13 20:48:10",648,0.126
"2017-12-13 20:48:20",649,0.125
"2017-12-13 20:48:30",650,0.125
"2017-12-13 20:48:40",651,0.126
"2017-12-13 20:48:50",652,0.125
"2017-12-13 20:49:00",653,0.125
"2017-12-13 20:49:10",654,0.126
"2017-12-13 20:49:20",655,0.126
"2017-12-13 20:49:30",656,0.126
"2017-12-13 20:49:40",657,0.126
"2017-12-13 20:49:50",658,0.126
"2017-12-13 20:50:00",659,0.126
"2017-12-13 20:50:10",660,0.126
"2017-12-13 20:50:20",661,0.126
"2017-12-13 20:50:30",662,0.126
"2017-12-13 20:50:40",663,0.126
"2017-12-13 20:50:50",664,0.126
"2017-12-13 20:51:00",665,0.126
"2017-12-13 20:51:10",666,0.126
"2017-12-13 20:51:20",667,0.126
"2017-12-13 20:51:30",668,0.126
"2017-12-13 20:51:40",669,0.127
"2017-12-13 20:51:50",670,0.127
"2017-12-13 20:52:00",671,0.127
"2017-12-13 20:52:10",672,0.127
"2017-12-13 20:52:20",673,0.127
"2017-12-13 20:52:30",674,0.127
"2017-12-13 20:52:40",675,0.127
"2017-12-13 20:52:50",676,0.127
"2017-12-13 20:53:00",677,0.127
"2017-12-13 20:53:10",678,0.126
"2017-12-13 20:53:20",679,0.127
"2017-12-13 20:53:30",680,0.127
"2017-12-13 20:53:40",681,0.127
"2017-12-13 20:53:50",682,0.127
"2017-12-13 20:54:00",683,0.127
"2017-12-13 20:54:10",684,0.127
